Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3990000,1.2991123,3.7876182,999.0,40.57982409000397,40.57982409000397,1.0
4000000,1.2991073,3.819537,999.0,32.272003604099154,32.272003604099154,1.0
4010000,1.2989969,3.8158689,999.0,37.873805542476475,37.873805542476475,1.0
4020000,1.2989433,3.8108165,999.0,37.98341581225395,37.98341581225395,1.0
4030000,1.298899,3.8924127,999.0,38.12648053467274,38.12648053467274,1.0
4040000,1.2988657,3.9097302,999.0,35.24882956594229,35.24882956594229,1.0
4050000,1.2988709,3.8257718,999.0,39.93418423819821,39.93418423819821,1.0
4060000,1.2988771,3.7860644,999.0,35.74090016260743,35.74090016260743,1.0
4070000,1.2988276,3.8537464,999.0,37.36883029900491,37.36883029900491,1.0
4080000,1.2987424,3.8168366,999.0,39.55319229140878,39.55319229140878,1.0
4090000,1.2986287,3.775784,999.0,39.081243731081486,39.081243731081486,1.0
4100000,1.2982998,3.8655353,999.0,40.03974571824074,40.03974571824074,1.0
4110000,1.2982934,3.8221874,999.0,40.11656767129898,40.11656767129898,1.0
4120000,1.2982768,3.9302392,999.0,35.796747490763664,35.796747490763664,1.0
4130000,1.2982726,3.7925375,999.0,40.616237726062536,40.616237726062536,1.0
4140000,1.2982062,3.8232489,999.0,33.29122614162043,33.29122614162043,1.0
4150000,1.2982062,3.8206673,999.0,36.80090147256851,36.80090147256851,1.0
4160000,1.2979137,3.8828766,999.0,36.089723855257034,36.089723855257034,1.0
4170000,1.2979017,3.7823796,999.0,40.794660057872534,40.794660057872534,1.0
4180000,1.2976183,3.8775375,999.0,44.957763489335775,44.957763489335775,1.0
4190000,1.2975743,3.8840027,999.0,37.375804379582405,37.375804379582405,1.0
4200000,1.2974498,3.9558299,999.0,45.304415836930275,45.304415836930275,1.0
4210000,1.2974131,3.933361,999.0,38.85273150354624,38.85273150354624,1.0
4220000,1.2975243,3.8667297,999.0,36.56806668289937,36.56806668289937,1.0
4230000,1.29758,3.8558946,999.0,41.575715735554695,41.575715735554695,1.0
4240000,1.2974792,3.9744382,999.0,38.621482061222196,38.621482061222196,1.0
4250000,1.2974032,3.924699,999.0,40.71820102073252,40.71820102073252,1.0
4260000,1.2973075,4.0250134,999.0,45.229619808495045,45.229619808495045,1.0
4270000,1.2971942,3.970552,999.0,41.02370658516884,41.02370658516884,1.0
