Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2810000,1.2772142,4.468242,999.0,45.75606415420771,45.75606415420771,1.0
2820000,1.2772142,4.5329585,999.0,47.15213665366173,47.15213665366173,1.0
2830000,1.2764497,4.4695716,999.0,45.36033543199301,45.36033543199301,1.0
2840000,1.2763251,4.4960647,999.0,46.04299621709755,46.04299621709755,1.0
2850000,1.275576,4.559437,999.0,47.70163828134537,47.70163828134537,1.0
2860000,1.2753384,4.514141,999.0,46.32645370066166,46.32645370066166,1.0
2870000,1.2749794,4.52442,999.0,48.27612816542387,48.27612816542387,1.0
2880000,1.2747905,4.5075483,999.0,44.384056551115854,44.384056551115854,1.0
2890000,1.2746245,4.5368967,999.0,46.761512231826785,46.761512231826785,1.0
2900000,1.2744901,4.52567,999.0,48.782263308763504,48.782263308763504,1.0
2910000,1.2742766,4.4977126,999.0,43.83586826175451,43.83586826175451,1.0
2920000,1.274037,4.545461,999.0,44.06106151001794,44.06106151001794,1.0
2930000,1.2737969,4.608896,999.0,47.6774374127388,47.6774374127388,1.0
2940000,1.2733195,4.668007,999.0,47.0746111869812,47.0746111869812,1.0
2950000,1.2729926,4.6386294,999.0,46.379908449947834,46.379908449947834,1.0
2960000,1.2720224,4.6645536,999.0,46.33491286635399,46.33491286635399,1.0
2970000,1.2718987,4.6548376,999.0,46.96441807746887,46.96441807746887,1.0
2980000,1.2713012,4.500595,999.0,40.09210554510355,40.09210554510355,1.0
2990000,1.2712582,4.6319213,999.0,43.59902584552765,43.59902584552765,1.0
3000000,1.27071,4.646186,999.0,46.403881578573156,46.403881578573156,1.0
3010000,1.27071,4.6122775,999.0,42.525835858285426,42.525835858285426,1.0
3020000,1.2700696,4.5468755,999.0,45.87796640396118,45.87796640396118,1.0
3030000,1.2700474,4.631231,999.0,44.2429885417223,44.2429885417223,1.0
3040000,1.2689372,4.6538634,999.0,47.56538619313921,47.56538619313921,1.0
3050000,1.2687594,4.5906725,999.0,42.649755594134334,42.649755594134334,1.0
3060000,1.267782,4.6176586,999.0,44.84461696445942,44.84461696445942,1.0
3070000,1.2674721,4.625885,999.0,47.73194776289165,47.73194776289165,1.0
3080000,1.2672002,4.5516996,999.0,47.08568731376103,47.08568731376103,1.0
3090000,1.2670707,4.541295,999.0,41.9923676609993,41.9923676609993,1.0
3100000,1.2670316,4.6293035,999.0,43.818420469760895,43.818420469760895,1.0
3110000,1.2669984,4.608785,999.0,45.56899154186249,45.56899154186249,1.0
3120000,1.2666419,4.5373282,999.0,49.16752288224442,49.16752288224442,1.0
3130000,1.2662221,4.652173,999.0,44.44417926669121,44.44417926669121,1.0
3140000,1.2661116,4.662445,999.0,52.04851874709129,52.04851874709129,1.0
3150000,1.2659385,4.6426687,999.0,49.44258620031178,49.44258620031178,1.0
3160000,1.2658176,4.637279,999.0,46.211578641619,46.211578641619,1.0
3170000,1.2654564,4.584652,999.0,43.419431912899014,43.419431912899014,1.0
3180000,1.2653673,4.630608,999.0,46.036892011761665,46.036892011761665,1.0
3190000,1.2649252,4.665578,999.0,48.12917810678482,48.12917810678482,1.0
3200000,1.2648958,4.6402907,999.0,48.96523990801403,48.96523990801403,1.0
3210000,1.2641257,4.668024,999.0,46.453135180473325,46.453135180473325,1.0
3220000,1.2641257,4.572303,999.0,41.85042017698288,41.85042017698288,1.0
3230000,1.26366,4.612664,999.0,45.24346049129963,45.24346049129963,1.0
3240000,1.2636453,4.551775,999.0,43.651295070137294,43.651295070137294,1.0
3250000,1.2634026,4.56993,999.0,42.2350698530674,42.2350698530674,1.0
3260000,1.2633609,4.60479,999.0,46.55337145924568,46.55337145924568,1.0
3270000,1.26326,4.579675,999.0,44.92763151228428,44.92763151228428,1.0
3280000,1.2632273,4.5525994,999.0,44.35660115310124,44.35660115310124,1.0
3290000,1.2629628,4.648307,999.0,48.67200820446014,48.67200820446014,1.0
3300000,1.26282,4.5759397,999.0,43.884248197078705,43.884248197078705,1.0
3310000,1.262524,4.651714,999.0,47.88968771696091,47.88968771696091,1.0
3320000,1.2623093,4.618252,999.0,45.960252216884065,45.960252216884065,1.0
3330000,1.262193,4.6624966,999.0,48.3848935842514,48.3848935842514,1.0
3340000,1.2620575,4.586203,999.0,45.07640287280083,45.07640287280083,1.0
3350000,1.2619145,4.6736283,999.0,46.48508336022496,46.48508336022496,1.0
3360000,1.2616767,4.6347904,999.0,47.83172208496502,47.83172208496502,1.0
3370000,1.2615556,4.700554,999.0,49.12260263413191,49.12260263413191,1.0
3380000,1.2611848,4.6573358,999.0,49.19428709149361,49.19428709149361,1.0
3390000,1.2611824,4.7226167,999.0,45.643985360860825,45.643985360860825,1.0
3400000,1.2611922,4.673344,999.0,47.06222254889352,47.06222254889352,1.0
3410000,1.2611574,4.725173,999.0,48.54978128671646,48.54978128671646,1.0
3420000,1.2606107,4.717768,999.0,48.23631967231631,48.23631967231631,1.0
3430000,1.2606107,4.646338,999.0,46.09003074467182,46.09003074467182,1.0
3440000,1.2599794,4.710121,999.0,47.8207893371582,47.8207893371582,1.0
3450000,1.2599583,4.704891,999.0,49.468167120218276,49.468167120218276,1.0
3460000,1.2594774,4.762144,999.0,48.18769590277225,48.18769590277225,1.0
3470000,1.2594024,4.728144,999.0,47.88989061117172,47.88989061117172,1.0
3480000,1.2591758,4.7232676,999.0,47.869400245802744,47.869400245802744,1.0
